word	pinyin	score	flag
一	yī	99.0	
不	bù	98.0	forced
了	le	98.0	forced
人	rén	98.0	forced
做	zuò	98.0	forced
在	zài	98.0	forced
大	dà	98.0	
好	hǎo	98.0	forced
是	shì	98.0	forced
有	yǒu	98.0	forced
水	shuǐ	98.0	forced
的	de	98.0	forced
看	kàn	98.0	forced
说	shuō	98.0	forced
这	zhè	98.0	forced
个	gè	96.8	
什么	shénme	96.8	forced
他	tā	96.8	forced
你	nǐ	96.8	forced
去	qù	96.8	forced
吃	chī	96.8	
我	wǒ	96.8	forced
三	sān	95.0	
上	shàng	95.0	forced
下	xià	95.0	forced
中国	Zhōngguó	95.0	
书	shū	95.0	forced
事	shì	95.0	
二	èr	95.0	
五	wǔ	95.0	
十	shí	95.0	
四	sì	95.0	forced
因为	yīnwèi	95.0	forced
学	xué	95.0	
年	nián	95.0	forced
东西	dōngxi	93.8	forced
为什么	wèi shénme	93.8	forced
也	yě	93.8	
会	huì	93.8	forced
八	bā	93.8	
再	zài	93.8	forced
出	chū	93.8	forced
到	dào	93.8	forced
前	qián	93.8	
可以	kěyǐ	93.8	forced
后	hòu	93.8	
和	hé	93.8	forced
地方	dìfang	93.8	forced
多	duō	93.8	
天	tiān	93.8	forced
学生	xuéshēng	93.8	
家	jiā	93.8	
对	duì	93.8	forced
小	xiǎo	93.8	forced
就	jiù	93.8	
开	kāi	93.8	forced
很	hěn	93.8	forced
想	xiǎng	93.8	
我们	wǒmen	93.8	forced
把	bǎ	93.8	forced
时候	shíhou	93.8	
更	gèng	93.8	
来	lái	93.8	forced
没有	méiyǒu	93.8	forced
现在	xiànzài	93.8	forced
用	yòng	93.8	forced
知道	zhīdào	93.8	
给	gěi	93.8	forced
能	néng	93.8	forced
自己	zìjǐ	93.8	forced
要	yào	93.8	
谁	shéi/shuí	93.8	forced
走	zǒu	93.8	forced
那	nà	93.8	forced
都	dōu	93.8	forced
钱	qián	93.8	forced
问	wèn	93.8	
今天	jīntiān	92.5	
叫	jiào	92.5	
听	tīng	92.5	forced
喜欢	xǐhuan	92.5	
喝	hē	92.5	forced
她	tā	92.5	
孩子	háizi	92.5	
心	xīn	92.5	forced
手	shǒu	92.5	forced
打	dǎ	92.5	
明天	míngtiān	92.5	forced
昨天	zuótiān	92.5	forced
晚上	wǎnshang	92.5	
爱	ài	92.5	forced
衣服	yīfu	92.5	
谢谢	xièxie	92.5	
还	hái	92.5	forced
饭	fàn	92.5	
世界	shìjiè	91.3	
关系	guānxì	91.3	forced
发生	fāshēng	91.3	
国家	guójiā	91.3	forced
妈妈	māma	91.3	forced
字	zì	91.3	
学习	xuéxí	91.3	forced
开始	kāishǐ	91.3	forced
时间	shíjiān	91.3	forced
最	zuì	91.3	
月	yuè	91.3	forced
百	bǎi	91.3	forced
被	bèi	91.3	forced
重要	zhòngyào	91.3	forced
七	qī	90.0	
不同	bù tóng	90.0	forced
九	jiǔ	90.0	
但是	dànshì	90.0	forced
六	liù	90.0	
写	xiě	90.0	
可能	kěnéng	90.0	forced
学校	xuéxiào	90.0	forced
工作	gōngzuò	90.0	forced
已经	yǐjīng	90.0	
应该	yīnggāi	90.0	
所以	suǒyǐ	90.0	forced
新	xīn	90.0	forced
电脑	diànnǎo	90.0	
电视	diànshì	90.0	
问题	wèntí	90.0	forced
需要	xūyào	90.0	forced
一定	yídìng	88.8	
一样	yíyàng	88.8	forced
一起	yìqǐ	88.8	forced
上午	shàngwǔ	88.8	
下午	xiàwǔ	88.8	
两	liǎng	88.8	
买	mǎi	88.8	
事情	shìqing	88.8	
从	cóng	88.8	forced
他们	tāmen	88.8	
以前	yǐqián	88.8	forced
以后	yǐhòu	88.8	forced
们	men	88.8	forced
住	zhù	88.8	
先	xiān	88.8	
关	guān	88.8	forced
其他	qítā	88.8	forced
几	jǐ	88.8	
动	dòng	88.8	
动物	dòngwù	88.8	forced
又	yòu	88.8	forced
变	biàn	88.8	
只	zhǐ	88.8	forced
名字	míngzi	88.8	forced
吗	ma	88.8	forced
告诉	gàosu	88.8	
哪	nǎ	88.8	
哪个	nǎge	88.8	
哪里	nǎlǐ	88.8	forced
回	huí	88.8	
地	dì	88.8	
坏	huài	88.8	forced
声音	shēngyīn	88.8	forced
外	wài	88.8	
多少	duōshao	88.8	
大家	dàjiā	88.8	
太	tài	88.8	
太阳	tàiyáng	88.8	forced
头	tóu	88.8	forced
女	nǚ	88.8	
女人	nǚrén	88.8	forced
如果	rúguǒ	88.8	forced
子	zi	88.8	
少	shǎo	88.8	
